query_name,data_name,ngraphs,tokens,n_patterns,n_graphs,n_total_objects,loading_time,indexing_time,materialise_time_collection,materialise_time_final,query_collect_node_match,query_collect_edge_match,generate_nested_morphisms,run_transform
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.0444,4.78962,5.50209,2.07428,0.107195,0.339403,31.9665,16.7722
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.2565,4.68798,5.57877,1.95957,0.098888,0.342743,32.1512,16.5952
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.1641,4.62522,5.33051,1.95398,0.098563,0.330994,31.7789,16.2827
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.9355,4.65486,5.40307,2.02617,0.098868,0.331313,32.2144,16.6085
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.907,4.61638,5.36675,2.02195,0.10219,0.339079,31.8262,16.4182
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.779,4.59357,5.42126,2.0217,0.09987,0.342326,32.3021,16.6488
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.0402,4.80189,5.29196,2.02508,0.101702,0.341648,32.0131,16.5302
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.1457,4.88396,5.37061,2.15981,0.099136,0.350221,32.541,16.8789
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.2802,1.17079,1.07744,1.13841,0.084931,0.088639,7.01913,4.08315
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.41503,1.24848,1.39454,0.779883,0.081512,0.085142,6.98797,4.32341
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.49779,1.2311,1.13731,0.747464,0.0811,0.084685,6.99042,4.33319
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.42835,1.23663,1.11673,0.760869,0.080083,0.084686,6.89199,4.17917
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.59666,1.22127,1.2047,0.752587,0.086752,0.086117,6.86037,4.04695
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.44606,1.23985,1.16071,0.74206,0.081935,0.094623,7.1622,4.23326
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.44568,1.32128,1.29206,0.755294,0.09159,0.087876,7.13448,4.13755
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.58471,1.23717,1.17668,0.849917,0.082629,0.087006,7.05865,4.46708
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.49006,1.21607,1.11974,0.777743,0.082632,0.089857,7.16765,4.19038
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.60247,1.25076,1.16599,0.746526,0.10554,0.097276,7.13203,4.17187
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.35691,1.20922,1.21488,0.809915,0.079192,0.083985,7.22496,4.41898
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.51682,1.31637,1.14286,0.742104,0.081142,0.085087,6.87247,4.28898
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.36449,1.15363,1.2265,0.840755,0.083153,0.087874,7.45193,4.42826
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.43503,1.32107,1.12517,0.767016,0.080691,0.085693,6.99373,4.28048
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,5,9,149,0,4.6009,1.1972,1.18215,0.770009,0.082618,0.087313,6.94867,4.10476
